21 Jun 2012
pkgs,avgvote,numvotes,users,rank,Crantastic Rank,Inside-R Votes
ggplot2,4,0,77,1,8,2018
data.table,3.9,49,63,2,13,1581
plyr,3.7,32,55,3,25,1338
reshape,3.6,16,33,4,35,772
lme4,3.7,8,24,5,34,363
Sim.DiffProc,4.3,30,23,6,10,825
Sim.DiffProcGUI,4.3,30,23,7,11,825
Hmisc,3.9,11,21,8,26,422
lattice,4.7,4,20,9,5,259
RODBC,4.2,11,17,10,20,520
xtable,4.2,8,16,11,23,321
randomForest,4.3,10,15,12,12,246
RColorBrewer,3.8,5,15,13,38,265
stringr,3.6,5,13,14,49,180
sp,4.2,6,12,15,21,308
reshape2,3.9,7,12,16,33,141
RSQLite,3.2,3,12,17,112,155
foreach,4.3,9,11,18,17,316
foreign,3.9,4,11,19,37,193
car,3.5,1,11,20,58,22
survival,3.2,3,11,21,114,155
RTextTools,3,2,11,22,120,26
quantmod,4.3,9,10,23,14,335
xts,4,9,10,24,27,425
rgl,3.7,3,10,25,44,115
XML,3.7,3,10,26,45,222
Matrix,3.4,3,10,27,82,60
cacheSweave,4.6,3,9,28,4,116
nlme,4.5,1,9,29,6,74
twitteR,4.2,6,9,30,22,189
zoo,3.8,4,9,31,40,162
maxent,3.5,2,9,32,60,26
xlsReadWrite,4.2,5,8,33,24,247
tikzDevice,3.9,6,8,34,36,311
latticeExtra,4,2,8,35,41,81
ape,3.6,4,8,36,50,158
maptools,3.5,3,8,37,61,80
survey,3.5,4,8,38,81,141
RMySQL,3.3,3,8,39,83,155
vegan,3,3,8,40,123,86
igraph,4.5,1,7,41,7,1
caret,4,5,7,42,28,88
PerformanceAnalytics,3.8,5,7,43,39,198
rpart,3.8,2,7,44,42,120
multicore,3.8,4,7,45,43,177
MCMCglmm,3.7,3,7,46,46,119
rgdal,3.6,4,7,47,53,158
boot,3.5,5,7,48,59,180
Rcmdr,3.2,5,7,49,122,301
Rcpp,3,2,7,50,126,40
Zelig,3.7,3,6,51,48,88
testthat,3.5,3,6,52,62,38
cluster,3.3,3,6,53,84,56
reporttools,3.3,3,6,54,85,85
mgcv,3.5,4,6,55,109,103
animation,3.1,5,6,56,115,90
coin,3.3,3,5,57,87,84
odfWeave,3.3,3,5,58,88,107
psych,3.2,3,5,59,117,103
snow,3.2,3,5,60,118,222
plotrix,3,2,5,61,127,81
plm,4.3,3,4,62,15,115
rjags,4,1,4,63,29,1
tm,3.7,3,4,64,51,34
RJSONIO,3.7,4,4,65,52,57
JGR,3.5,1,4,66,63,74
xlsx,3.8,4,4,67,64,78
roxygen,3.4,4,4,68,89,208
unknownR,3.4,3,4,69,90,0
pls,3.3,3,4,70,91,84
lubridate,3.3,3,4,71,92,27
glmnet,3.2,3,4,72,119,47
RUnit,3,2,4,73,128,81
multcomp,3,1,4,74,129,74
nnet,3,5,4,75,130,45
